City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
133,Jining,35.405,116.5814,274.87,99,100,2.82,light snow,CN,2022-01-22 02:32:46
134,Arraial Do Cabo,-22.9661,-42.0278,297.17,88,5,5.2,clear sky,BR,2022-01-22 02:32:47
135,Kobelyaky,49.1489,34.1965,268.13,92,93,5.14,overcast clouds,UA,2022-01-22 02:32:47
136,Quang Ngai,15.1167,108.8,298.11,72,7,1.69,clear sky,VN,2022-01-22 02:32:47
137,Kirakira,-10.4544,161.9205,303.15,70,99,4.86,overcast clouds,SB,2022-01-22 02:33:48
138,Xinzhi,36.4989,111.7047,273.95,77,52,1.22,broken clouds,CN,2022-01-22 02:33:48
139,Barmer,25.75,71.3833,289.9,73,0,7.92,clear sky,IN,2022-01-22 02:33:48
140,Altagracia De Orituco,9.8601,-66.3814,294.95,91,45,3.11,scattered clouds,VE,2022-01-22 02:33:49
141,Sandviken,60.6167,16.7667,266.72,76,69,1.08,broken clouds,SE,2022-01-22 02:33:49
142,Dzhankoy,45.7167,34.4,271.34,64,23,1.69,few clouds,UA,2022-01-22 02:33:49
143,Vila Franca Do Campo,37.7167,-25.4333,288.38,74,96,5.89,overcast clouds,PT,2022-01-22 02:33:49
144,Katsuura,35.1333,140.3,279.21,45,7,1.45,clear sky,JP,2022-01-22 02:33:50
